ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,1,2023,Elec- Agricultural,Y,0,0,
93101,2,2023,Elec- Agricultural,Y,0,0,
93101,3,2023,Elec- Agricultural,Y,0,0,
93110,1,2023,Elec- Agricultural,Y,0,0,
93110,2,2023,Elec- Agricultural,Y,0,0,
93110,3,2023,Elec- Agricultural,Y,0,0,
93117,1,2023,Elec- Agricultural,Y,0,0,
93117,2,2023,Elec- Agricultural,Y,0,0,
93117,3,2023,Elec- Agricultural,Y,0,0,
93202,1,2023,Elec- Agricultural,Y,0,0,
93202,2,2023,Elec- Agricultural,Y,0,0,
93202,3,2023,Elec- Agricultural,Y,0,0,
93203,1,2023,Elec- Agricultural,Y,0,0,
93203,2,2023,Elec- Agricultural,Y,0,0,
93203,3,2023,Elec- Agricultural,Y,0,0,
93204,1,2023,Elec- Agricultural,Y,0,0,
93204,2,2023,Elec- Agricultural,Y,0,0,
93204,3,2023,Elec- Agricultural,Y,0,0,
93206,1,2023,Elec- Agricultural,Y,0,0,
93206,2,2023,Elec- Agricultural,Y,123,"4,504,370","36,621"
93206,3,2023,Elec- Agricultural,Y,0,0,
93210,1,2023,Elec- Agricultural,Y,0,0,
93210,2,2023,Elec- Agricultural,Y,180,"3,923,635","21,798"
93210,3,2023,Elec- Agricultural,Y,0,0,
93212,1,2023,Elec- Agricultural,Y,0,0,
93212,2,2023,Elec- Agricultural,Y,0,0,
93212,3,2023,Elec- Agricultural,Y,0,0,
93215,1,2023,Elec- Agricultural,Y,0,0,
93215,2,2023,Elec- Agricultural,Y,0,0,
93215,3,2023,Elec- Agricultural,Y,0,0,
93219,1,2023,Elec- Agricultural,Y,0,0,
93219,2,2023,Elec- Agricultural,Y,0,0,
93219,3,2023,Elec- Agricultural,Y,0,0,
93224,1,2023,Elec- Agricultural,Y,0,0,
93224,2,2023,Elec- Agricultural,Y,0,0,
93224,3,2023,Elec- Agricultural,Y,0,0,
93225,1,2023,Elec- Agricultural,Y,0,0,
93225,2,2023,Elec- Agricultural,Y,0,0,
93225,3,2023,Elec- Agricultural,Y,0,0,
93230,1,2023,Elec- Agricultural,Y,0,0,
93230,2,2023,Elec- Agricultural,Y,661,"13,637,805","20,632"
93230,3,2023,Elec- Agricultural,Y,726,"13,557,374","18,674"
93234,1,2023,Elec- Agricultural,Y,0,0,
93234,2,2023,Elec- Agricultural,Y,0,0,
93234,3,2023,Elec- Agricultural,Y,315,"4,749,479","15,078"
93239,1,2023,Elec- Agricultural,Y,0,0,
93239,2,2023,Elec- Agricultural,Y,0,0,
93239,3,2023,Elec- Agricultural,Y,0,0,
93241,1,2023,Elec- Agricultural,Y,0,0,
93241,2,2023,Elec- Agricultural,Y,0,0,
93241,3,2023,Elec- Agricultural,Y,0,0,
93242,1,2023,Elec- Agricultural,Y,0,0,
93242,2,2023,Elec- Agricultural,Y,0,0,
93242,3,2023,Elec- Agricultural,Y,0,0,
93243,1,2023,Elec- Agricultural,Y,0,0,
93243,2,2023,Elec- Agricultural,Y,0,0,
93243,3,2023,Elec- Agricultural,Y,0,0,
93245,1,2023,Elec- Agricultural,Y,0,0,
93245,2,2023,Elec- Agricultural,Y,637,"6,919,721","10,863"
93245,3,2023,Elec- Agricultural,N,454,"1,115,982","2,458"
93249,1,2023,Elec- Agricultural,Y,0,0,
93249,2,2023,Elec- Agricultural,Y,0,0,
93249,3,2023,Elec- Agricultural,Y,0,0,
93250,1,2023,Elec- Agricultural,Y,0,0,
93250,2,2023,Elec- Agricultural,Y,252,"1,979,550","7,855"
93250,3,2023,Elec- Agricultural,Y,0,0,
93251,1,2023,Elec- Agricultural,Y,0,0,
93251,2,2023,Elec- Agricultural,Y,0,0,
93251,3,2023,Elec- Agricultural,Y,0,0,
93252,1,2023,Elec- Agricultural,Y,0,0,
93252,2,2023,Elec- Agricultural,Y,0,0,
93252,3,2023,Elec- Agricultural,Y,0,0,
93254,1,2023,Elec- Agricultural,Y,0,0,
93254,2,2023,Elec- Agricultural,Y,0,0,
93254,3,2023,Elec- Agricultural,Y,0,0,
93256,1,2023,Elec- Agricultural,Y,0,0,
93256,2,2023,Elec- Agricultural,Y,0,0,
93256,3,2023,Elec- Agricultural,Y,0,0,
93262,1,2023,Elec- Agricultural,Y,0,0,
93262,2,2023,Elec- Agricultural,Y,0,0,
93262,3,2023,Elec- Agricultural,Y,0,0,
93263,1,2023,Elec- Agricultural,Y,0,0,
93263,2,2023,Elec- Agricultural,Y,0,0,
93263,3,2023,Elec- Agricultural,Y,0,0,
93266,1,2023,Elec- Agricultural,Y,0,0,
93266,2,2023,Elec- Agricultural,Y,0,0,
93266,3,2023,Elec- Agricultural,Y,0,0,
93268,1,2023,Elec- Agricultural,Y,0,0,
93268,2,2023,Elec- Agricultural,Y,0,0,
93268,3,2023,Elec- Agricultural,Y,0,0,
93272,1,2023,Elec- Agricultural,Y,0,0,
93272,2,2023,Elec- Agricultural,Y,0,0,
93272,3,2023,Elec- Agricultural,Y,0,0,
93274,1,2023,Elec- Agricultural,Y,0,0,
93274,2,2023,Elec- Agricultural,Y,0,0,
93274,3,2023,Elec- Agricultural,Y,0,0,
93276,1,2023,Elec- Agricultural,Y,0,0,
93276,2,2023,Elec- Agricultural,Y,0,0,
93276,3,2023,Elec- Agricultural,Y,0,0,
93277,1,2023,Elec- Agricultural,Y,0,0,
93277,2,2023,Elec- Agricultural,Y,0,0,
93277,3,2023,Elec- Agricultural,Y,0,0,
93280,1,2023,Elec- Agricultural,Y,"2,157","32,653,053","15,138"
93280,2,2023,Elec- Agricultural,Y,608,"20,677,919","34,010"
93280,3,2023,Elec- Agricultural,Y,618,"18,638,255","30,159"
