ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
93309,3,2023,Gas- Commercial,Y,734,"257,415",351
93311,1,2023,Gas- Commercial,Y,0,0,
93311,2,2023,Gas- Commercial,Y,0,0,
93311,3,2023,Gas- Commercial,Y,0,0,
93313,1,2023,Gas- Commercial,Y,0,0,
93313,2,2023,Gas- Commercial,Y,0,0,
93313,3,2023,Gas- Commercial,Y,0,0,
93314,1,2023,Gas- Commercial,Y,0,0,
93314,2,2023,Gas- Commercial,Y,0,0,
93314,3,2023,Gas- Commercial,Y,0,0,
93432,1,2023,Gas- Commercial,Y,0,0,
93432,2,2023,Gas- Commercial,Y,0,0,
93432,3,2023,Gas- Commercial,Y,0,0,
93446,1,2023,Gas- Commercial,Y,0,0,
93446,2,2023,Gas- Commercial,Y,0,0,
93446,3,2023,Gas- Commercial,Y,0,0,
93450,1,2023,Gas- Commercial,Y,0,0,
93450,2,2023,Gas- Commercial,Y,0,0,
93450,3,2023,Gas- Commercial,Y,0,0,
93461,1,2023,Gas- Commercial,Y,0,0,
93461,2,2023,Gas- Commercial,Y,0,0,
93461,3,2023,Gas- Commercial,Y,0,0,
93516,1,2023,Gas- Commercial,Y,0,0,
93516,2,2023,Gas- Commercial,Y,0,0,
93516,3,2023,Gas- Commercial,Y,0,0,
93523,1,2023,Gas- Commercial,Y,0,0,
93523,2,2023,Gas- Commercial,Y,0,0,
93523,3,2023,Gas- Commercial,Y,0,0,
93555,1,2023,Gas- Commercial,Y,629,"275,866",439
93555,2,2023,Gas- Commercial,Y,628,"244,161",389
93555,3,2023,Gas- Commercial,Y,628,"220,249",351
93561,1,2023,Gas- Commercial,Y,0,0,
93561,2,2023,Gas- Commercial,Y,0,0,
93561,3,2023,Gas- Commercial,Y,0,0,
93562,1,2023,Gas- Commercial,Y,0,0,
93562,2,2023,Gas- Commercial,Y,0,0,
93562,3,2023,Gas- Commercial,Y,0,0,
93608,1,2023,Gas- Commercial,Y,0,0,
93608,2,2023,Gas- Commercial,Y,0,0,
93608,3,2023,Gas- Commercial,Y,0,0,
93610,1,2023,Gas- Commercial,Y,0,0,
93610,2,2023,Gas- Commercial,Y,0,0,
93610,3,2023,Gas- Commercial,Y,0,0,
93611,1,2023,Gas- Commercial,Y,0,0,
93611,2,2023,Gas- Commercial,Y,0,0,
93611,3,2023,Gas- Commercial,Y,0,0,
93612,1,2023,Gas- Commercial,Y,"2,380","1,113,493",468
93612,2,2023,Gas- Commercial,Y,0,0,
93612,3,2023,Gas- Commercial,Y,0,0,
93616,1,2023,Gas- Commercial,Y,0,0,
93616,2,2023,Gas- Commercial,Y,0,0,
93616,3,2023,Gas- Commercial,Y,0,0,
93619,1,2023,Gas- Commercial,Y,0,0,
93619,2,2023,Gas- Commercial,Y,0,0,
93619,3,2023,Gas- Commercial,Y,0,0,
93620,1,2023,Gas- Commercial,Y,0,0,
93620,2,2023,Gas- Commercial,Y,0,0,
93620,3,2023,Gas- Commercial,Y,0,0,
93622,1,2023,Gas- Commercial,Y,0,0,
93622,2,2023,Gas- Commercial,Y,0,0,
93622,3,2023,Gas- Commercial,Y,0,0,
93625,1,2023,Gas- Commercial,Y,0,0,
93625,2,2023,Gas- Commercial,Y,0,0,
93625,3,2023,Gas- Commercial,Y,0,0,
93627,1,2023,Gas- Commercial,Y,0,0,
93627,2,2023,Gas- Commercial,Y,0,0,
93627,3,2023,Gas- Commercial,Y,0,0,
93630,1,2023,Gas- Commercial,Y,0,0,
93630,2,2023,Gas- Commercial,Y,0,0,
93630,3,2023,Gas- Commercial,Y,0,0,
93635,1,2023,Gas- Commercial,Y,597,"242,564",406
93635,2,2023,Gas- Commercial,Y,0,0,
93635,3,2023,Gas- Commercial,Y,0,0,
93636,1,2023,Gas- Commercial,Y,0,0,
93636,2,2023,Gas- Commercial,Y,0,0,
93636,3,2023,Gas- Commercial,Y,0,0,
93637,1,2023,Gas- Commercial,Y,"1,164","714,305",614
93637,2,2023,Gas- Commercial,Y,"1,071","652,338",609
93637,3,2023,Gas- Commercial,Y,843,"536,183",636
93638,1,2023,Gas- Commercial,N,321,"151,512",472
93638,2,2023,Gas- Commercial,N,319,"142,317",446
93638,3,2023,Gas- Commercial,N,320,"135,880",425
93640,1,2023,Gas- Commercial,Y,0,0,
93640,2,2023,Gas- Commercial,Y,0,0,
93640,3,2023,Gas- Commercial,Y,0,0,
93650,1,2023,Gas- Commercial,N,108,"25,533",236
93650,2,2023,Gas- Commercial,N,109,"24,643",226
93650,3,2023,Gas- Commercial,N,109,"23,200",213
93657,1,2023,Gas- Commercial,Y,0,0,
93657,2,2023,Gas- Commercial,Y,0,0,
93657,3,2023,Gas- Commercial,Y,0,0,
93660,1,2023,Gas- Commercial,Y,0,0,
93660,2,2023,Gas- Commercial,Y,0,0,
93660,3,2023,Gas- Commercial,Y,0,0,
93662,1,2023,Gas- Commercial,Y,0,0,
93662,2,2023,Gas- Commercial,Y,0,0,
93662,3,2023,Gas- Commercial,Y,0,0,
93668,1,2023,Gas- Commercial,Y,0,0,
93668,2,2023,Gas- Commercial,Y,0,0,
93668,3,2023,Gas- Commercial,Y,0,0,
93701,1,2023,Gas- Commercial,Y,0,0,
93701,2,2023,Gas- Commercial,Y,0,0,
93701,3,2023,Gas- Commercial,Y,0,0,
93702,1,2023,Gas- Commercial,Y,0,0,
93702,2,2023,Gas- Commercial,Y,0,0,
93702,3,2023,Gas- Commercial,Y,0,0,
93703,1,2023,Gas- Commercial,Y,919,"322,631",351
93703,2,2023,Gas- Commercial,Y,920,"302,764",329
93703,3,2023,Gas- Commercial,Y,0,0,
93704,1,2023,Gas- Commercial,Y,0,0,
93704,2,2023,Gas- Commercial,Y,0,0,
93704,3,2023,Gas- Commercial,Y,0,0,
93705,1,2023,Gas- Commercial,Y,0,0,
93705,2,2023,Gas- Commercial,Y,0,0,
93705,3,2023,Gas- Commercial,Y,0,0,
93706,1,2023,Gas- Commercial,Y,0,0,
93706,2,2023,Gas- Commercial,Y,0,0,
93706,3,2023,Gas- Commercial,Y,0,0,
93710,1,2023,Gas- Commercial,Y,0,0,
93710,2,2023,Gas- Commercial,Y,0,0,
93710,3,2023,Gas- Commercial,Y,0,0,
93711,1,2023,Gas- Commercial,N,"1,189","332,138",279
93711,2,2023,Gas- Commercial,Y,"1,210","348,454",288
93711,3,2023,Gas- Commercial,Y,"1,217","291,072",239
93720,1,2023,Gas- Commercial,N,"1,007","494,625",491
93720,2,2023,Gas- Commercial,Y,"3,445","1,558,711",452
93720,3,2023,Gas- Commercial,Y,"3,461","1,437,169",415
93721,1,2023,Gas- Commercial,Y,0,0,
93721,2,2023,Gas- Commercial,Y,0,0,
93721,3,2023,Gas- Commercial,Y,0,0,
93722,1,2023,Gas- Commercial,Y,"3,135","2,276,981",726
93722,2,2023,Gas- Commercial,Y,"3,137","2,179,055",695
93722,3,2023,Gas- Commercial,Y,"4,298","2,485,024",578
93723,1,2023,Gas- Commercial,Y,0,0,
93723,2,2023,Gas- Commercial,Y,0,0,
93723,3,2023,Gas- Commercial,Y,0,0,
93725,1,2023,Gas- Commercial,Y,0,0,
93725,2,2023,Gas- Commercial,Y,0,0,
93725,3,2023,Gas- Commercial,Y,0,0,
93726,1,2023,Gas- Commercial,Y,"1,222","602,070",493
93726,2,2023,Gas- Commercial,Y,"1,216","556,418",458
93726,3,2023,Gas- Commercial,Y,"1,017","387,457",381
93727,1,2023,Gas- Commercial,Y,"1,889","972,964",515
93727,2,2023,Gas- Commercial,Y,"1,894","966,345",510
93727,3,2023,Gas- Commercial,Y,"1,894","828,874",438
93728,1,2023,Gas- Commercial,Y,0,0,
93728,2,2023,Gas- Commercial,Y,0,0,
93728,3,2023,Gas- Commercial,Y,0,0,
93730,1,2023,Gas- Commercial,Y,76,"40,037",527
93730,2,2023,Gas- Commercial,Y,0,0,
93730,3,2023,Gas- Commercial,Y,0,0,
93737,1,2023,Gas- Commercial,Y,0,0,
93737,2,2023,Gas- Commercial,Y,0,0,
93737,3,2023,Gas- Commercial,Y,0,0,
93740,1,2023,Gas- Commercial,Y,0,0,
93740,2,2023,Gas- Commercial,Y,0,0,
93740,3,2023,Gas- Commercial,Y,0,0,
93741,1,2023,Gas- Commercial,Y,0,0,
93741,2,2023,Gas- Commercial,Y,0,0,
93741,3,2023,Gas- Commercial,Y,0,0,
93901,1,2023,Gas- Commercial,Y,"1,195","725,753",607
93901,2,2023,Gas- Commercial,N,"1,077","412,634",383
93901,3,2023,Gas- Commercial,N,"1,079","389,964",361
93905,1,2023,Gas- Commercial,N,376,"174,475",464
93905,2,2023,Gas- Commercial,N,375,"179,572",479
93905,3,2023,Gas- Commercial,N,374,"173,746",465
93906,1,2023,Gas- Commercial,N,408,"190,938",468
93906,2,2023,Gas- Commercial,N,409,"186,494",456
93906,3,2023,Gas- Commercial,N,407,"186,199",457
93907,1,2023,Gas- Commercial,Y,524,"236,710",452
93907,2,2023,Gas- Commercial,Y,527,"236,873",449
93907,3,2023,Gas- Commercial,Y,527,"229,563",436
93908,1,2023,Gas- Commercial,Y,0,0,
93908,2,2023,Gas- Commercial,Y,138,"264,546","1,917"
93908,3,2023,Gas- Commercial,Y,138,"247,595","1,794"
93921,1,2023,Gas- Commercial,N,148,"47,703",322
93921,2,2023,Gas- Commercial,N,148,"49,252",333
93921,3,2023,Gas- Commercial,N,146,"49,133",337
93923,1,2023,Gas- Commercial,Y,454,"227,418",501
93923,2,2023,Gas- Commercial,Y,453,"237,311",524
93923,3,2023,Gas- Commercial,Y,456,"233,501",512
93924,1,2023,Gas- Commercial,Y,0,0,
93924,2,2023,Gas- Commercial,Y,0,0,
93924,3,2023,Gas- Commercial,Y,0,0,
93925,1,2023,Gas- Commercial,Y,24,"3,979",166
93925,2,2023,Gas- Commercial,Y,0,0,
93925,3,2023,Gas- Commercial,Y,0,0,
93926,1,2023,Gas- Commercial,Y,0,0,
93926,2,2023,Gas- Commercial,Y,0,0,
93926,3,2023,Gas- Commercial,Y,0,0,
93927,1,2023,Gas- Commercial,Y,0,0,
93927,2,2023,Gas- Commercial,N,123,"42,968",349
93927,3,2023,Gas- Commercial,N,124,"42,186",340
93930,1,2023,Gas- Commercial,Y,610,"247,338",405
93930,2,2023,Gas- Commercial,Y,238,"96,990",408
93930,3,2023,Gas- Commercial,Y,419,"209,755",501
93933,1,2023,Gas- Commercial,N,282,"100,147",355
93933,2,2023,Gas- Commercial,N,285,"103,035",362
93933,3,2023,Gas- Commercial,N,287,"101,628",354
93940,1,2023,Gas- Commercial,Y,"1,366","889,423",651
93940,2,2023,Gas- Commercial,Y,"1,364","899,219",659
93940,3,2023,Gas- Commercial,Y,"1,361","877,042",644
93944,1,2023,Gas- Commercial,Y,0,0,
93944,2,2023,Gas- Commercial,Y,0,0,
93944,3,2023,Gas- Commercial,Y,0,0,
