ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,4,2023,Elec- Agricultural,Y,0,0,
93101,5,2023,Elec- Agricultural,Y,0,0,
93101,6,2023,Elec- Agricultural,Y,0,0,
93110,4,2023,Elec- Agricultural,Y,0,0,
93110,5,2023,Elec- Agricultural,Y,0,0,
93110,6,2023,Elec- Agricultural,Y,0,0,
93117,4,2023,Elec- Agricultural,Y,0,0,
93117,5,2023,Elec- Agricultural,Y,0,0,
93117,6,2023,Elec- Agricultural,Y,0,0,
93202,4,2023,Elec- Agricultural,Y,0,0,
93202,5,2023,Elec- Agricultural,Y,0,0,
93202,6,2023,Elec- Agricultural,Y,0,0,
93203,4,2023,Elec- Agricultural,Y,0,0,
93203,5,2023,Elec- Agricultural,Y,0,0,
93203,6,2023,Elec- Agricultural,Y,0,0,
93204,4,2023,Elec- Agricultural,Y,0,0,
93204,5,2023,Elec- Agricultural,Y,0,0,
93204,6,2023,Elec- Agricultural,Y,0,0,
93206,4,2023,Elec- Agricultural,Y,0,0,
93206,5,2023,Elec- Agricultural,Y,0,0,
93206,6,2023,Elec- Agricultural,Y,0,0,
93210,4,2023,Elec- Agricultural,N,111,"4,524,552","40,762"
93210,5,2023,Elec- Agricultural,N,111,"7,098,124","63,947"
93210,6,2023,Elec- Agricultural,N,109,"8,087,622","74,198"
93212,4,2023,Elec- Agricultural,Y,0,0,
93212,5,2023,Elec- Agricultural,Y,272,"13,073,680","48,065"
93212,6,2023,Elec- Agricultural,Y,272,"16,801,909","61,772"
93215,4,2023,Elec- Agricultural,Y,0,0,
93215,5,2023,Elec- Agricultural,Y,0,0,
93215,6,2023,Elec- Agricultural,Y,0,0,
93219,4,2023,Elec- Agricultural,Y,0,0,
93219,5,2023,Elec- Agricultural,Y,0,0,
93219,6,2023,Elec- Agricultural,Y,0,0,
93224,4,2023,Elec- Agricultural,Y,0,0,
93224,5,2023,Elec- Agricultural,Y,0,0,
93224,6,2023,Elec- Agricultural,Y,0,0,
93225,4,2023,Elec- Agricultural,Y,0,0,
93225,5,2023,Elec- Agricultural,Y,0,0,
93225,6,2023,Elec- Agricultural,Y,0,0,
93230,4,2023,Elec- Agricultural,Y,707,"15,899,681","22,489"
93230,5,2023,Elec- Agricultural,Y,382,"8,956,066","23,445"
93230,6,2023,Elec- Agricultural,Y,382,"10,373,964","27,157"
93234,4,2023,Elec- Agricultural,Y,253,"2,945,276","11,641"
93234,5,2023,Elec- Agricultural,Y,0,0,
93234,6,2023,Elec- Agricultural,Y,0,0,
93239,4,2023,Elec- Agricultural,Y,0,0,
93239,5,2023,Elec- Agricultural,Y,0,0,
93239,6,2023,Elec- Agricultural,Y,0,0,
93241,4,2023,Elec- Agricultural,Y,0,0,
93241,5,2023,Elec- Agricultural,Y,0,0,
93241,6,2023,Elec- Agricultural,Y,0,0,
93242,4,2023,Elec- Agricultural,Y,0,0,
93242,5,2023,Elec- Agricultural,Y,0,0,
93242,6,2023,Elec- Agricultural,Y,0,0,
93243,4,2023,Elec- Agricultural,Y,0,0,
93243,5,2023,Elec- Agricultural,Y,0,0,
93243,6,2023,Elec- Agricultural,Y,0,0,
93245,4,2023,Elec- Agricultural,N,455,"2,123,293","4,667"
93245,5,2023,Elec- Agricultural,Y,511,"4,083,981","7,992"
93245,6,2023,Elec- Agricultural,Y,510,"4,582,524","8,985"
93249,4,2023,Elec- Agricultural,Y,0,0,
93249,5,2023,Elec- Agricultural,Y,0,0,
93249,6,2023,Elec- Agricultural,Y,0,0,
93250,4,2023,Elec- Agricultural,Y,0,0,
93250,5,2023,Elec- Agricultural,Y,0,0,
93250,6,2023,Elec- Agricultural,Y,0,0,
93251,4,2023,Elec- Agricultural,Y,0,0,
93251,5,2023,Elec- Agricultural,Y,0,0,
93251,6,2023,Elec- Agricultural,Y,0,0,
93252,4,2023,Elec- Agricultural,Y,0,0,
93252,5,2023,Elec- Agricultural,Y,0,0,
93252,6,2023,Elec- Agricultural,Y,0,0,
93254,4,2023,Elec- Agricultural,Y,0,0,
93254,5,2023,Elec- Agricultural,Y,0,0,
93254,6,2023,Elec- Agricultural,Y,0,0,
93256,4,2023,Elec- Agricultural,Y,0,0,
93256,5,2023,Elec- Agricultural,Y,0,0,
93256,6,2023,Elec- Agricultural,Y,0,0,
93262,4,2023,Elec- Agricultural,Y,0,0,
93262,5,2023,Elec- Agricultural,Y,0,0,
93262,6,2023,Elec- Agricultural,Y,0,0,
93263,4,2023,Elec- Agricultural,Y,0,0,
93263,5,2023,Elec- Agricultural,Y,0,0,
93263,6,2023,Elec- Agricultural,Y,0,0,
93266,4,2023,Elec- Agricultural,Y,0,0,
93266,5,2023,Elec- Agricultural,Y,0,0,
93266,6,2023,Elec- Agricultural,Y,0,0,
93268,4,2023,Elec- Agricultural,Y,0,0,
93268,5,2023,Elec- Agricultural,Y,0,0,
93268,6,2023,Elec- Agricultural,Y,0,0,
93272,4,2023,Elec- Agricultural,Y,0,0,
93272,5,2023,Elec- Agricultural,Y,0,0,
93272,6,2023,Elec- Agricultural,Y,0,0,
93274,4,2023,Elec- Agricultural,Y,0,0,
93274,5,2023,Elec- Agricultural,Y,0,0,
93274,6,2023,Elec- Agricultural,Y,0,0,
93276,4,2023,Elec- Agricultural,Y,0,0,
93276,5,2023,Elec- Agricultural,Y,0,0,
93276,6,2023,Elec- Agricultural,Y,0,0,
93277,4,2023,Elec- Agricultural,Y,0,0,
93277,5,2023,Elec- Agricultural,Y,0,0,
93277,6,2023,Elec- Agricultural,Y,0,0,
93280,4,2023,Elec- Agricultural,Y,867,"34,773,077","40,107"
93280,5,2023,Elec- Agricultural,Y,"2,427","87,122,356","35,897"
93280,6,2023,Elec- Agricultural,Y,"2,421",100767191,"41,622"
93286,4,2023,Elec- Agricultural,Y,0,0,
93286,5,2023,Elec- Agricultural,Y,0,0,
93286,6,2023,Elec- Agricultural,Y,0,0,
93291,4,2023,Elec- Agricultural,Y,0,0,
93291,5,2023,Elec- Agricultural,Y,0,0,
93291,6,2023,Elec- Agricultural,Y,0,0,
93292,4,2023,Elec- Agricultural,Y,0,0,
93292,5,2023,Elec- Agricultural,Y,0,0,
93292,6,2023,Elec- Agricultural,Y,0,0,
93301,4,2023,Elec- Agricultural,Y,0,0,
93301,5,2023,Elec- Agricultural,Y,0,0,
93301,6,2023,Elec- Agricultural,Y,0,0,
93304,4,2023,Elec- Agricultural,Y,0,0,
93304,5,2023,Elec- Agricultural,Y,168,"4,218,622","25,111"
93304,6,2023,Elec- Agricultural,Y,185,"4,947,871","26,745"
93305,4,2023,Elec- Agricultural,Y,0,0,
93305,5,2023,Elec- Agricultural,Y,0,0,
93305,6,2023,Elec- Agricultural,Y,0,0,
93306,4,2023,Elec- Agricultural,Y,0,0,
93306,5,2023,Elec- Agricultural,Y,0,0,
93306,6,2023,Elec- Agricultural,Y,0,0,
93307,4,2023,Elec- Agricultural,Y,640,"19,887,144","31,074"
93307,5,2023,Elec- Agricultural,Y,533,"26,999,896","50,656"
93307,6,2023,Elec- Agricultural,Y,534,"25,765,935","48,251"
93308,4,2023,Elec- Agricultural,Y,284,"5,700,110","20,071"
93308,5,2023,Elec- Agricultural,Y,130,"2,057,683","15,828"
93308,6,2023,Elec- Agricultural,Y,113,"2,261,140","20,010"
93309,4,2023,Elec- Agricultural,Y,0,0,
93309,5,2023,Elec- Agricultural,Y,0,0,
93309,6,2023,Elec- Agricultural,Y,0,0,
93311,4,2023,Elec- Agricultural,Y,0,0,
93311,5,2023,Elec- Agricultural,N,91,"8,461,471","92,983"
93311,6,2023,Elec- Agricultural,Y,186,"12,636,373","67,937"
93312,4,2023,Elec- Agricultural,Y,0,0,
93312,5,2023,Elec- Agricultural,Y,0,0,
93312,6,2023,Elec- Agricultural,Y,0,0,
93313,4,2023,Elec- Agricultural,Y,285,"8,630,981","30,284"
93313,5,2023,Elec- Agricultural,Y,194,"3,602,190","18,568"
93313,6,2023,Elec- Agricultural,Y,193,"3,947,251","20,452"
93314,4,2023,Elec- Agricultural,Y,0,0,
93314,5,2023,Elec- Agricultural,Y,91,"3,506,079","38,528"
93314,6,2023,Elec- Agricultural,Y,0,0,
93401,4,2023,Elec- Agricultural,Y,0,0,
93401,5,2023,Elec- Agricultural,Y,0,0,
93401,6,2023,Elec- Agricultural,Y,0,0,
93402,4,2023,Elec- Agricultural,Y,0,0,
93402,5,2023,Elec- Agricultural,Y,0,0,
93402,6,2023,Elec- Agricultural,Y,0,0,
93405,4,2023,Elec- Agricultural,Y,0,0,
93405,5,2023,Elec- Agricultural,Y,0,0,
93405,6,2023,Elec- Agricultural,Y,0,0,
93420,4,2023,Elec- Agricultural,Y,"1,191","21,124,099","17,736"
93420,5,2023,Elec- Agricultural,Y,0,0,
93420,6,2023,Elec- Agricultural,Y,0,0,
93422,4,2023,Elec- Agricultural,Y,0,0,
93422,5,2023,Elec- Agricultural,Y,0,0,
93422,6,2023,Elec- Agricultural,Y,0,0,
93426,4,2023,Elec- Agricultural,Y,0,0,
93426,5,2023,Elec- Agricultural,Y,0,0,
93426,6,2023,Elec- Agricultural,Y,0,0,
93427,4,2023,Elec- Agricultural,Y,0,0,
93427,5,2023,Elec- Agricultural,Y,0,0,
93427,6,2023,Elec- Agricultural,Y,0,0,
93428,4,2023,Elec- Agricultural,Y,0,0,
93428,5,2023,Elec- Agricultural,Y,0,0,
93428,6,2023,Elec- Agricultural,Y,0,0,
93430,4,2023,Elec- Agricultural,Y,119,"110,550",929
93430,5,2023,Elec- Agricultural,Y,0,0,
93430,6,2023,Elec- Agricultural,Y,0,0,
93432,4,2023,Elec- Agricultural,Y,0,0,
93432,5,2023,Elec- Agricultural,Y,0,0,
93432,6,2023,Elec- Agricultural,Y,0,0,
93433,4,2023,Elec- Agricultural,Y,0,0,
93433,5,2023,Elec- Agricultural,Y,0,0,
93433,6,2023,Elec- Agricultural,Y,0,0,
93434,4,2023,Elec- Agricultural,Y,0,0,
93434,5,2023,Elec- Agricultural,Y,0,0,
93434,6,2023,Elec- Agricultural,Y,0,0,
93435,4,2023,Elec- Agricultural,Y,0,0,
93435,5,2023,Elec- Agricultural,Y,0,0,
93436,4,2023,Elec- Agricultural,Y,298,"1,193,592","4,005"
93436,5,2023,Elec- Agricultural,Y,298,"1,662,358","5,578"
93436,6,2023,Elec- Agricultural,Y,297,"1,731,377","5,830"
93437,4,2023,Elec- Agricultural,Y,0,0,
93437,5,2023,Elec- Agricultural,Y,0,0,
93437,6,2023,Elec- Agricultural,Y,0,0,
93441,4,2023,Elec- Agricultural,N,50,"123,322","2,466"
93441,5,2023,Elec- Agricultural,Y,0,0,
93441,6,2023,Elec- Agricultural,Y,0,0,
93442,4,2023,Elec- Agricultural,Y,0,0,
93442,5,2023,Elec- Agricultural,Y,0,0,
93442,6,2023,Elec- Agricultural,Y,0,0,
93444,4,2023,Elec- Agricultural,Y,0,0,
93444,5,2023,Elec- Agricultural,Y,0,0,
93444,6,2023,Elec- Agricultural,Y,0,0,
93445,4,2023,Elec- Agricultural,Y,0,0,
93445,5,2023,Elec- Agricultural,Y,0,0,
93445,6,2023,Elec- Agricultural,Y,0,0,
93446,4,2023,Elec- Agricultural,Y,517,"799,652","1,547"
93446,5,2023,Elec- Agricultural,Y,714,"3,086,822","4,323"
93446,6,2023,Elec- Agricultural,Y,712,"3,607,240","5,066"
93449,4,2023,Elec- Agricultural,Y,0,0,
93449,5,2023,Elec- Agricultural,Y,0,0,
93449,6,2023,Elec- Agricultural,Y,0,0,
93450,4,2023,Elec- Agricultural,Y,0,0,
93450,5,2023,Elec- Agricultural,Y,0,0,
93450,6,2023,Elec- Agricultural,Y,0,0,
93451,4,2023,Elec- Agricultural,Y,0,0,
93451,5,2023,Elec- Agricultural,Y,251,"4,428,618","17,644"
93451,6,2023,Elec- Agricultural,Y,251,"5,564,831","22,171"
93452,4,2023,Elec- Agricultural,Y,0,0,
93452,5,2023,Elec- Agricultural,Y,0,0,
93452,6,2023,Elec- Agricultural,Y,0,0,
93453,4,2023,Elec- Agricultural,Y,0,0,
93453,5,2023,Elec- Agricultural,Y,0,0,
93453,6,2023,Elec- Agricultural,Y,0,0,
93454,4,2023,Elec- Agricultural,Y,0,0,
93454,5,2023,Elec- Agricultural,Y,0,0,
93454,6,2023,Elec- Agricultural,Y,0,0,
93455,4,2023,Elec- Agricultural,Y,0,0,
93455,5,2023,Elec- Agricultural,Y,0,0,
93455,6,2023,Elec- Agricultural,Y,0,0,
93458,4,2023,Elec- Agricultural,Y,0,0,
93458,5,2023,Elec- Agricultural,Y,0,0,
93458,6,2023,Elec- Agricultural,Y,0,0,
93460,4,2023,Elec- Agricultural,Y,184,"425,873","2,315"
93460,5,2023,Elec- Agricultural,Y,0,0,
93460,6,2023,Elec- Agricultural,Y,0,0,
93461,4,2023,Elec- Agricultural,Y,0,0,
93461,5,2023,Elec- Agricultural,Y,0,0,
93461,6,2023,Elec- Agricultural,Y,0,0,
93463,4,2023,Elec- Agricultural,Y,0,0,
93463,5,2023,Elec- Agricultural,Y,0,0,
93463,6,2023,Elec- Agricultural,Y,0,0,
93465,4,2023,Elec- Agricultural,N,127,"79,768",628
93465,5,2023,Elec- Agricultural,Y,0,0,
93465,6,2023,Elec- Agricultural,Y,0,0,
93601,4,2023,Elec- Agricultural,Y,0,0,
93601,5,2023,Elec- Agricultural,Y,0,0,
93601,6,2023,Elec- Agricultural,Y,0,0,
93602,4,2023,Elec- Agricultural,Y,0,0,
93602,5,2023,Elec- Agricultural,Y,0,0,
93602,6,2023,Elec- Agricultural,Y,0,0,
93603,4,2023,Elec- Agricultural,Y,0,0,
93603,5,2023,Elec- Agricultural,Y,0,0,
93603,6,2023,Elec- Agricultural,Y,0,0,
93608,4,2023,Elec- Agricultural,Y,268,"4,689,920","17,500"
93608,5,2023,Elec- Agricultural,Y,205,"6,021,808","29,375"
93608,6,2023,Elec- Agricultural,Y,205,"7,366,316","35,933"
93609,4,2023,Elec- Agricultural,N,221,"3,485,958","15,774"
93609,5,2023,Elec- Agricultural,N,220,"6,152,791","27,967"
93609,6,2023,Elec- Agricultural,N,221,"6,687,916","30,262"
93610,4,2023,Elec- Agricultural,N,463,"9,621,602","20,781"
93610,5,2023,Elec- Agricultural,N,463,"16,523,647","35,688"
93610,6,2023,Elec- Agricultural,N,463,"20,897,698","45,135"
93611,4,2023,Elec- Agricultural,Y,0,0,
93611,5,2023,Elec- Agricultural,Y,0,0,
93611,6,2023,Elec- Agricultural,Y,118,"325,177","2,756"
93612,4,2023,Elec- Agricultural,Y,0,0,
93612,5,2023,Elec- Agricultural,Y,0,0,
93612,6,2023,Elec- Agricultural,Y,0,0,
93614,4,2023,Elec- Agricultural,Y,0,0,
93614,5,2023,Elec- Agricultural,Y,0,0,
93614,6,2023,Elec- Agricultural,Y,0,0,
93615,4,2023,Elec- Agricultural,Y,0,0,
93615,5,2023,Elec- Agricultural,Y,0,0,
93615,6,2023,Elec- Agricultural,Y,0,0,
93616,4,2023,Elec- Agricultural,Y,0,0,
93616,5,2023,Elec- Agricultural,Y,0,0,
93616,6,2023,Elec- Agricultural,Y,0,0,
93618,4,2023,Elec- Agricultural,Y,"1,287","8,683,291","6,747"
93618,5,2023,Elec- Agricultural,Y,552,"7,731,897","14,007"
93618,6,2023,Elec- Agricultural,Y,555,"8,176,855","14,733"
93619,4,2023,Elec- Agricultural,Y,0,0,
93619,5,2023,Elec- Agricultural,Y,0,0,
93619,6,2023,Elec- Agricultural,Y,177,"311,538","1,760"
93620,4,2023,Elec- Agricultural,N,231,"1,509,022","6,533"
93620,5,2023,Elec- Agricultural,Y,0,0,
93620,6,2023,Elec- Agricultural,N,236,"4,030,663","17,079"
93621,4,2023,Elec- Agricultural,Y,0,0,
93621,5,2023,Elec- Agricultural,Y,0,0,
93621,6,2023,Elec- Agricultural,Y,0,0,
93622,4,2023,Elec- Agricultural,N,245,"4,480,954","18,290"
93622,5,2023,Elec- Agricultural,Y,479,"9,591,686","20,024"
93622,6,2023,Elec- Agricultural,N,248,"8,655,811","34,902"
93624,4,2023,Elec- Agricultural,N,113,"1,418,720","12,555"
93624,5,2023,Elec- Agricultural,N,115,"2,102,451","18,282"
93624,6,2023,Elec- Agricultural,N,115,"2,580,716","22,441"
93625,4,2023,Elec- Agricultural,Y,0,0,
93625,5,2023,Elec- Agricultural,Y,0,0,
93625,6,2023,Elec- Agricultural,Y,0,0,
