ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,7,2023,Elec- Agricultural,Y,0,0,
93101,8,2023,Elec- Agricultural,Y,0,0,
93101,9,2023,Elec- Agricultural,Y,0,0,
93110,7,2023,Elec- Agricultural,Y,0,0,
93110,8,2023,Elec- Agricultural,Y,0,0,
93110,9,2023,Elec- Agricultural,Y,0,0,
93117,7,2023,Elec- Agricultural,Y,0,0,
93117,8,2023,Elec- Agricultural,Y,0,0,
93117,9,2023,Elec- Agricultural,Y,0,0,
93202,7,2023,Elec- Agricultural,Y,0,0,
93202,8,2023,Elec- Agricultural,Y,0,0,
93202,9,2023,Elec- Agricultural,Y,0,0,
93203,7,2023,Elec- Agricultural,Y,0,0,
93203,8,2023,Elec- Agricultural,Y,0,0,
93203,9,2023,Elec- Agricultural,Y,0,0,
93204,7,2023,Elec- Agricultural,Y,0,0,
93204,8,2023,Elec- Agricultural,Y,0,0,
93204,9,2023,Elec- Agricultural,Y,0,0,
93206,7,2023,Elec- Agricultural,Y,0,0,
93206,8,2023,Elec- Agricultural,Y,0,0,
93206,9,2023,Elec- Agricultural,Y,0,0,
93210,7,2023,Elec- Agricultural,N,110,"8,816,421","80,149"
93210,8,2023,Elec- Agricultural,Y,0,0,
93210,9,2023,Elec- Agricultural,Y,0,0,
93212,7,2023,Elec- Agricultural,Y,0,0,
93212,8,2023,Elec- Agricultural,Y,279,"19,608,630","70,282"
93212,9,2023,Elec- Agricultural,Y,0,0,
93215,7,2023,Elec- Agricultural,Y,0,0,
93215,8,2023,Elec- Agricultural,Y,0,0,
93215,9,2023,Elec- Agricultural,Y,0,0,
93219,7,2023,Elec- Agricultural,Y,0,0,
93219,8,2023,Elec- Agricultural,Y,0,0,
93219,9,2023,Elec- Agricultural,Y,0,0,
93224,7,2023,Elec- Agricultural,Y,0,0,
93224,8,2023,Elec- Agricultural,Y,0,0,
93224,9,2023,Elec- Agricultural,Y,0,0,
93225,7,2023,Elec- Agricultural,Y,0,0,
93225,8,2023,Elec- Agricultural,Y,0,0,
93225,9,2023,Elec- Agricultural,Y,0,0,
93230,7,2023,Elec- Agricultural,Y,717,"37,706,313","52,589"
93230,8,2023,Elec- Agricultural,Y,386,"10,854,169","28,120"
93230,9,2023,Elec- Agricultural,Y,719,"23,040,877","32,046"
93234,7,2023,Elec- Agricultural,N,115,"4,735,515","41,178"
93234,8,2023,Elec- Agricultural,Y,0,0,
93234,9,2023,Elec- Agricultural,Y,0,0,
93239,7,2023,Elec- Agricultural,Y,0,0,
93239,8,2023,Elec- Agricultural,Y,0,0,
93239,9,2023,Elec- Agricultural,Y,0,0,
93241,7,2023,Elec- Agricultural,Y,0,0,
93241,8,2023,Elec- Agricultural,Y,0,0,
93241,9,2023,Elec- Agricultural,Y,0,0,
93242,7,2023,Elec- Agricultural,Y,0,0,
93242,8,2023,Elec- Agricultural,Y,0,0,
93242,9,2023,Elec- Agricultural,Y,0,0,
93243,7,2023,Elec- Agricultural,Y,0,0,
93243,8,2023,Elec- Agricultural,Y,0,0,
93243,9,2023,Elec- Agricultural,Y,0,0,
93245,7,2023,Elec- Agricultural,N,457,"4,019,137","8,795"
93245,8,2023,Elec- Agricultural,Y,570,"7,568,923","13,279"
93245,9,2023,Elec- Agricultural,Y,570,"4,513,548","7,919"
93249,7,2023,Elec- Agricultural,Y,0,0,
93249,8,2023,Elec- Agricultural,Y,0,0,
93249,9,2023,Elec- Agricultural,Y,0,0,
93250,7,2023,Elec- Agricultural,Y,0,0,
93250,8,2023,Elec- Agricultural,Y,0,0,
93250,9,2023,Elec- Agricultural,Y,158,"4,672,280","29,571"
93251,7,2023,Elec- Agricultural,Y,0,0,
93251,8,2023,Elec- Agricultural,Y,0,0,
93251,9,2023,Elec- Agricultural,Y,0,0,
93252,7,2023,Elec- Agricultural,Y,0,0,
93252,8,2023,Elec- Agricultural,Y,0,0,
93252,9,2023,Elec- Agricultural,Y,0,0,
93254,7,2023,Elec- Agricultural,Y,0,0,
93254,8,2023,Elec- Agricultural,Y,0,0,
93254,9,2023,Elec- Agricultural,Y,0,0,
93256,7,2023,Elec- Agricultural,Y,0,0,
93256,8,2023,Elec- Agricultural,Y,0,0,
93256,9,2023,Elec- Agricultural,Y,0,0,
93262,7,2023,Elec- Agricultural,Y,0,0,
93262,8,2023,Elec- Agricultural,Y,0,0,
93262,9,2023,Elec- Agricultural,Y,0,0,
93263,7,2023,Elec- Agricultural,Y,0,0,
93263,8,2023,Elec- Agricultural,Y,0,0,
93263,9,2023,Elec- Agricultural,Y,0,0,
93266,7,2023,Elec- Agricultural,Y,0,0,
93266,8,2023,Elec- Agricultural,N,54,"747,410","13,841"
93266,9,2023,Elec- Agricultural,Y,0,0,
93268,7,2023,Elec- Agricultural,Y,0,0,
93268,8,2023,Elec- Agricultural,Y,0,0,
93268,9,2023,Elec- Agricultural,Y,0,0,
93272,7,2023,Elec- Agricultural,Y,0,0,
