ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93304,12,2023,Elec- Agricultural,Y,0,0,
93305,10,2023,Elec- Agricultural,Y,0,0,
93305,11,2023,Elec- Agricultural,Y,0,0,
93305,12,2023,Elec- Agricultural,Y,0,0,
93306,10,2023,Elec- Agricultural,Y,0,0,
93306,11,2023,Elec- Agricultural,Y,0,0,
93306,12,2023,Elec- Agricultural,Y,0,0,
93307,10,2023,Elec- Agricultural,Y,"1,009","23,332,102","23,124"
93307,11,2023,Elec- Agricultural,Y,"1,352","30,593,763","22,629"
93307,12,2023,Elec- Agricultural,Y,"1,126","25,233,361","22,410"
93308,10,2023,Elec- Agricultural,Y,313,"10,489,034","33,511"
93308,11,2023,Elec- Agricultural,Y,0,0,
93308,12,2023,Elec- Agricultural,Y,0,0,
93309,10,2023,Elec- Agricultural,Y,0,0,
93309,11,2023,Elec- Agricultural,Y,0,0,
93309,12,2023,Elec- Agricultural,Y,0,0,
93311,10,2023,Elec- Agricultural,Y,0,0,
93311,11,2023,Elec- Agricultural,Y,0,0,
93311,12,2023,Elec- Agricultural,Y,0,0,
93312,10,2023,Elec- Agricultural,Y,0,0,
93312,11,2023,Elec- Agricultural,Y,0,0,
93312,12,2023,Elec- Agricultural,Y,0,0,
93313,10,2023,Elec- Agricultural,Y,0,0,
93313,11,2023,Elec- Agricultural,Y,0,0,
93313,12,2023,Elec- Agricultural,Y,0,0,
93314,10,2023,Elec- Agricultural,Y,0,0,
93314,11,2023,Elec- Agricultural,Y,0,0,
93314,12,2023,Elec- Agricultural,Y,0,0,
93401,10,2023,Elec- Agricultural,Y,0,0,
93401,11,2023,Elec- Agricultural,Y,0,0,
93401,12,2023,Elec- Agricultural,Y,0,0,
93402,10,2023,Elec- Agricultural,Y,0,0,
93402,11,2023,Elec- Agricultural,Y,0,0,
93402,12,2023,Elec- Agricultural,Y,0,0,
93405,10,2023,Elec- Agricultural,Y,0,0,
93405,11,2023,Elec- Agricultural,Y,0,0,
93405,12,2023,Elec- Agricultural,Y,0,0,
93420,10,2023,Elec- Agricultural,Y,791,"13,285,079","16,795"
93420,11,2023,Elec- Agricultural,Y,463,"2,724,031","5,883"
93420,12,2023,Elec- Agricultural,Y,"2,019","11,680,221","5,785"
93422,10,2023,Elec- Agricultural,Y,0,0,
93422,11,2023,Elec- Agricultural,Y,0,0,
93422,12,2023,Elec- Agricultural,Y,0,0,
93426,10,2023,Elec- Agricultural,Y,0,0,
93426,11,2023,Elec- Agricultural,Y,0,0,
93426,12,2023,Elec- Agricultural,Y,0,0,
93427,10,2023,Elec- Agricultural,Y,0,0,
93427,11,2023,Elec- Agricultural,Y,0,0,
93427,12,2023,Elec- Agricultural,Y,0,0,
93428,10,2023,Elec- Agricultural,Y,0,0,
93428,11,2023,Elec- Agricultural,Y,0,0,
93428,12,2023,Elec- Agricultural,Y,0,0,
93430,10,2023,Elec- Agricultural,Y,0,0,
93430,11,2023,Elec- Agricultural,Y,0,0,
93430,12,2023,Elec- Agricultural,Y,0,0,
93432,10,2023,Elec- Agricultural,Y,0,0,
93432,11,2023,Elec- Agricultural,Y,0,0,
93432,12,2023,Elec- Agricultural,Y,0,0,
93433,10,2023,Elec- Agricultural,Y,0,0,
93433,11,2023,Elec- Agricultural,Y,0,0,
93433,12,2023,Elec- Agricultural,Y,0,0,
93434,10,2023,Elec- Agricultural,Y,0,0,
93434,11,2023,Elec- Agricultural,Y,0,0,
93434,12,2023,Elec- Agricultural,Y,0,0,
93435,10,2023,Elec- Agricultural,Y,0,0,
93435,11,2023,Elec- Agricultural,Y,0,0,
93435,12,2023,Elec- Agricultural,Y,0,0,
93436,10,2023,Elec- Agricultural,Y,298,"1,695,429","5,689"
93436,11,2023,Elec- Agricultural,Y,300,"1,225,634","4,085"
93436,12,2023,Elec- Agricultural,Y,233,"705,821","3,029"
93437,10,2023,Elec- Agricultural,Y,0,0,
93437,11,2023,Elec- Agricultural,Y,0,0,
93437,12,2023,Elec- Agricultural,Y,0,0,
93441,10,2023,Elec- Agricultural,Y,0,0,
93441,11,2023,Elec- Agricultural,N,50,"139,812","2,796"
93441,12,2023,Elec- Agricultural,Y,0,0,
93442,10,2023,Elec- Agricultural,Y,176,"314,602","1,788"
93442,11,2023,Elec- Agricultural,Y,160,"212,428","1,328"
93442,12,2023,Elec- Agricultural,Y,0,0,
93444,10,2023,Elec- Agricultural,Y,0,0,
93444,11,2023,Elec- Agricultural,Y,0,0,
93444,12,2023,Elec- Agricultural,Y,0,0,
93445,10,2023,Elec- Agricultural,Y,0,0,
93445,11,2023,Elec- Agricultural,Y,0,0,
93445,12,2023,Elec- Agricultural,Y,0,0,
93446,10,2023,Elec- Agricultural,Y,636,"2,490,827","3,916"
93446,11,2023,Elec- Agricultural,Y,"1,165","2,817,184","2,418"
93446,12,2023,Elec- Agricultural,Y,0,0,
93449,10,2023,Elec- Agricultural,Y,0,0,
93449,11,2023,Elec- Agricultural,Y,0,0,
93449,12,2023,Elec- Agricultural,Y,0,0,
93450,10,2023,Elec- Agricultural,Y,0,0,
93450,11,2023,Elec- Agricultural,Y,0,0,
93450,12,2023,Elec- Agricultural,Y,0,0,
93451,10,2023,Elec- Agricultural,Y,0,0,
93451,11,2023,Elec- Agricultural,Y,0,0,
93451,12,2023,Elec- Agricultural,Y,0,0,
93452,10,2023,Elec- Agricultural,Y,0,0,
93452,11,2023,Elec- Agricultural,Y,0,0,
93452,12,2023,Elec- Agricultural,Y,0,0,
93453,10,2023,Elec- Agricultural,Y,0,0,
93453,11,2023,Elec- Agricultural,Y,0,0,
93453,12,2023,Elec- Agricultural,Y,0,0,
93454,10,2023,Elec- Agricultural,Y,304,"13,373,072","43,990"
93454,11,2023,Elec- Agricultural,Y,304,"10,695,214","35,182"
93454,12,2023,Elec- Agricultural,Y,0,0,
93455,10,2023,Elec- Agricultural,Y,0,0,
93455,11,2023,Elec- Agricultural,Y,0,0,
93455,12,2023,Elec- Agricultural,Y,0,0,
93458,10,2023,Elec- Agricultural,Y,0,0,
93458,11,2023,Elec- Agricultural,Y,0,0,
93458,12,2023,Elec- Agricultural,Y,0,0,
93460,10,2023,Elec- Agricultural,Y,0,0,
93460,11,2023,Elec- Agricultural,Y,0,0,
93460,12,2023,Elec- Agricultural,Y,292,"770,418","2,638"
93461,10,2023,Elec- Agricultural,Y,0,0,
93461,11,2023,Elec- Agricultural,Y,0,0,
93461,12,2023,Elec- Agricultural,Y,0,0,
93463,10,2023,Elec- Agricultural,Y,0,0,
93463,11,2023,Elec- Agricultural,Y,0,0,
93463,12,2023,Elec- Agricultural,Y,0,0,
93465,10,2023,Elec- Agricultural,N,127,"191,249","1,506"
93465,11,2023,Elec- Agricultural,Y,0,0,
93465,12,2023,Elec- Agricultural,Y,0,0,
93601,10,2023,Elec- Agricultural,Y,0,0,
93601,11,2023,Elec- Agricultural,Y,0,0,
93601,12,2023,Elec- Agricultural,Y,0,0,
93602,10,2023,Elec- Agricultural,Y,0,0,
93602,11,2023,Elec- Agricultural,Y,0,0,
